Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-37896-1086-6,192.168.1.13,37896,192.168.1.3,1086,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45674-20005-6,192.168.1.13,45674,192.168.1.3,20005,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-43784-5911-6,192.168.1.13,43784,192.168.1.3,5911,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-34004-4111-6,192.168.1.13,34004,192.168.1.3,4111,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-60598-5298-6,192.168.1.13,60598,192.168.1.3,5298,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-42282-1296-6,192.168.1.13,42282,192.168.1.3,1296,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-41192-2179-6,192.168.1.13,41192,192.168.1.3,2179,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-36114-3851-6,192.168.1.13,36114,192.168.1.3,3851,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-54220-9081-6,192.168.1.13,54220,192.168.1.3,9081,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37730-2035-6,192.168.1.13,37730,192.168.1.3,2035,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-40208-27355-6,192.168.1.13,40208,192.168.1.3,27355,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-58574-1011-6,192.168.1.13,58574,192.168.1.3,1011,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40608-2006-6,192.168.1.13,40608,192.168.1.3,2006,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40760-1051-6,192.168.1.13,40760,192.168.1.3,1051,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-37354-2002-6,192.168.1.13,37354,192.168.1.3,2002,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-33434-1311-6,192.168.1.13,33434,192.168.1.3,1311,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40852-2366-6,192.168.1.13,40852,192.168.1.3,2366,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-44896-8500-6,192.168.1.13,44896,192.168.1.3,8500,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-32860-1141-6,192.168.1.13,32860,192.168.1.3,1141,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-55222-1122-6,192.168.1.13,55222,192.168.1.3,1122,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-56014-3370-6,192.168.1.13,56014,192.168.1.3,3370,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-59754-1455-6,192.168.1.13,59754,192.168.1.3,1455,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-54500-1021-6,192.168.1.13,54500,192.168.1.3,1021,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-38900-34572-6,192.168.1.13,38900,192.168.1.3,34572,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-41934-19-6,192.168.1.13,41934,192.168.1.3,19,6,21/11/2024 03:42:13 PM
