Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-33344-16080-6,192.168.1.13,33344,192.168.1.3,16080,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-35134-3871-6,192.168.1.13,35134,192.168.1.3,3871,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-38112-10009-6,192.168.1.13,38112,192.168.1.3,10009,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-53294-1039-6,192.168.1.13,53294,192.168.1.3,1039,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-44002-5500-6,192.168.1.13,44002,192.168.1.3,5500,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-48106-9040-6,192.168.1.13,48106,192.168.1.3,9040,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-54652-5901-6,192.168.1.13,54652,192.168.1.3,5901,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-56224-2910-6,192.168.1.13,56224,192.168.1.3,2910,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-37862-514-6,192.168.1.13,37862,192.168.1.3,514,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-42118-843-6,192.168.1.13,42118,192.168.1.3,843,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-43444-1094-6,192.168.1.13,43444,192.168.1.3,1094,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-54868-55055-6,192.168.1.13,54868,192.168.1.3,55055,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-50808-55600-6,192.168.1.13,50808,192.168.1.3,55600,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-37524-1984-6,192.168.1.13,37524,192.168.1.3,1984,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-33594-51493-6,192.168.1.13,33594,192.168.1.3,51493,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-51356-4567-6,192.168.1.13,51356,192.168.1.3,4567,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38954-21-6,192.168.1.13,38954,192.168.1.3,21,6,19/11/2024 11:23:51 PM
192.168.1.13-192.168.1.3-38186-9003-6,192.168.1.13,38186,192.168.1.3,9003,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-43072-2065-6,192.168.1.13,43072,192.168.1.3,2065,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-50402-8290-6,192.168.1.13,50402,192.168.1.3,8290,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-37642-52848-6,192.168.1.13,37642,192.168.1.3,52848,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-51206-163-6,192.168.1.13,51206,192.168.1.3,163,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-50552-6779-6,192.168.1.13,50552,192.168.1.3,6779,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-46404-1011-6,192.168.1.13,46404,192.168.1.3,1011,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-42740-8001-6,192.168.1.13,42740,192.168.1.3,8001,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-46320-38292-6,192.168.1.13,46320,192.168.1.3,38292,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-50048-5998-6,192.168.1.13,50048,192.168.1.3,5998,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-35788-3006-6,192.168.1.13,35788,192.168.1.3,3006,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-35538-2604-6,192.168.1.13,35538,192.168.1.3,2604,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-33808-3323-6,192.168.1.13,33808,192.168.1.3,3323,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-39670-2161-6,192.168.1.13,39670,192.168.1.3,2161,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-35492-1065-6,192.168.1.13,35492,192.168.1.3,1065,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-51062-1078-6,192.168.1.13,51062,192.168.1.3,1078,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-45878-9999-6,192.168.1.13,45878,192.168.1.3,9999,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38792-9575-6,192.168.1.13,38792,192.168.1.3,9575,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-36544-10002-6,192.168.1.13,36544,192.168.1.3,10002,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-46766-9618-6,192.168.1.13,46766,192.168.1.3,9618,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-40520-3000-6,192.168.1.13,40520,192.168.1.3,3000,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-42666-668-6,192.168.1.13,42666,192.168.1.3,668,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-33122-49153-6,192.168.1.13,33122,192.168.1.3,49153,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-36500-2144-6,192.168.1.13,36500,192.168.1.3,2144,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-48298-2021-6,192.168.1.13,48298,192.168.1.3,2021,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-33220-8090-6,192.168.1.13,33220,192.168.1.3,8090,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-43692-1044-6,192.168.1.13,43692,192.168.1.3,1044,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-44470-280-6,192.168.1.13,44470,192.168.1.3,280,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-53946-143-6,192.168.1.13,53946,192.168.1.3,143,6,19/11/2024 11:23:51 PM
192.168.1.13-192.168.1.3-51936-9000-6,192.168.1.13,51936,192.168.1.3,9000,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-37620-6839-6,192.168.1.13,37620,192.168.1.3,6839,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-39636-7435-6,192.168.1.13,39636,192.168.1.3,7435,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-34408-1052-6,192.168.1.13,34408,192.168.1.3,1052,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-33642-2222-6,192.168.1.13,33642,192.168.1.3,2222,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-60046-2020-6,192.168.1.13,60046,192.168.1.3,2020,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-60080-4662-6,192.168.1.13,60080,192.168.1.3,4662,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-38924-993-6,192.168.1.13,38924,192.168.1.3,993,6,19/11/2024 11:23:51 PM
192.168.1.13-192.168.1.3-49372-6789-6,192.168.1.13,49372,192.168.1.3,6789,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-59292-2920-6,192.168.1.13,59292,192.168.1.3,2920,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-46124-901-6,192.168.1.13,46124,192.168.1.3,901,6,19/11/2024 11:23:52 PM
192.168.1.13-192.168.1.3-57120-1935-6,192.168.1.13,57120,192.168.1.3,1935,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-43922-24444-6,192.168.1.13,43922,192.168.1.3,24444,6,19/11/2024 11:23:54 PM
192.168.1.13-192.168.1.3-49328-1164-6,192.168.1.13,49328,192.168.1.3,1164,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-38298-464-6,192.168.1.13,38298,192.168.1.3,464,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-52240-2035-6,192.168.1.13,52240,192.168.1.3,2035,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-52458-4-6,192.168.1.13,52458,192.168.1.3,4,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-55470-1641-6,192.168.1.13,55470,192.168.1.3,1641,6,19/11/2024 11:23:55 PM
192.168.1.13-192.168.1.3-57326-27356-6,192.168.1.13,57326,192.168.1.3,27356,6,19/11/2024 11:23:53 PM
192.168.1.13-192.168.1.3-45120-3814-6,192.168.1.13,45120,192.168.1.3,3814,6,19/11/2024 11:23:54 PM
